City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Birjand,IR,2022-03-02 04:04:55,32.8663,59.2211,50.23,31,2,1.92
280,Belle Fourche,US,2022-03-02 04:04:56,44.6714,-103.8522,54.45,39,39,7.45
281,Saint-Augustin,CA,2022-03-02 04:04:56,51.226,-58.6502,-12.28,96,19,5.17
282,Tamiahua,MX,2022-03-02 04:04:57,21.2667,-97.45,66.63,78,94,5.37
283,Opuwo,NA,2022-03-02 04:04:57,-18.0607,13.84,69.13,66,87,1.25
284,Saldanha,ZA,2022-03-02 04:04:57,-33.0117,17.9442,63.5,97,50,11.3
285,Ozinki,RU,2022-03-02 04:04:58,51.1786,49.6769,12.58,98,83,5.44
286,Basco,PH,2022-03-02 04:04:58,20.4487,121.9702,74.3,74,65,10.16
287,Solwezi,ZM,2022-03-02 04:01:11,-12.1688,26.3894,62.28,97,100,2.19
288,Fallon,US,2022-03-02 04:04:59,39.4735,-118.7774,55.92,37,75,6.91
289,Mandalgovi,MN,2022-03-02 04:04:59,45.7625,106.2708,28.04,27,51,14.25
290,Collie,AU,2022-03-02 04:04:59,-33.3667,116.15,65.88,45,88,7.65
291,Dandong,CN,2022-03-02 04:05:00,40.1292,124.3947,46.44,33,1,11.41
292,Victoria,HK,2022-03-02 04:05:00,22.2855,114.1577,77.95,79,42,5.01
293,Cacu,BR,2022-03-02 04:05:01,-18.5567,-51.1308,71.91,77,96,3.62
